Brand,Model,Variant,Manufacturing_Year,Driven_Kilometer,Fuel,Number of Owner,Location,Price
Hyundai,i10,ERA 1.1 IRDE ,2014,29383,Petrol,2,New Delhi,266199
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2013,10558,Petrol,1,New Delhi,392199
Maruti,Swift,LXI ,2020,10568,Petrol,1,New Delhi,592499
Maruti,Swift,LXI ,2019,27659,Petrol,1,New Delhi,533399
KIA,SELTOS,HTX 1.5 PETROL MT ,2020,32799,Petrol,1,New Delhi,1383099
Mercedes,Class,C 200 AVANTGARDE ,2014,37531,Petrol,1,New Delhi,2033499
Renault,Kiger,RXZ 1.0 MT DUAL TONE,2021,14474,Petrol,2,New Delhi,823199
Maruti,Swift,LXI ,2020,17435,Petrol,1,New Delhi,592499
Honda,City,VX MT PETROL ,2014,61168,Petrol,2,New Delhi,658499
MG,ASTOR,SHARP (O) 1.5 CVT IVORY AUTOMATIC,2022,2091,Petrol,1,New Delhi,1767999
KIA,SELTOS,HTK PLUS 1.5 DIESEL ,2019,25067,Diesel,1,New Delhi,1307499
Renault,Kwid,1.0 RXT Opt ,2021,368,Petrol,1,New Delhi,505099
Hyundai,SANTRO,1.1 ERA EXICUTIVE ,2020,3812,Petrol,2,New Delhi,471599
Tata,ALTROZ,XM+ 1.2 RTN,2021,7416,Petrol,1,New Delhi,720176
Jaguar,XF,2.2 DIESEL ,2013,28909,Diesel,2,New Delhi,1549999
KIA,SELTOS,GTX + AT PETROL ,2019,37357,Petrol,1,New Delhi,1659099
Maruti,Dzire,LXI ,2018,25653,Petrol,1,New Delhi,542299
Honda,WR-V,1.2 i-VTEC VX MT ,2017,17511,Petrol,1,New Delhi,779899
Tata,ALTROZ,XE 1.2 ,2021,7472,Petrol,1,New Delhi,641999
Maruti,Baleno,SIGMA 1.2 K12 ,2020,8966,Petrol,1,New Delhi,603599
Nissan,MAGNITE,XL Turbo MT,2022,5306,Petrol,1,New Delhi,843099
Maruti,Star,VXI ,2011,23629,Petrol,2,New Delhi,231699
Hyundai,i10,MAGNA 1.2 KAPPA2 ,2011,72229,Petrol,1,New Delhi,282899
Tata,ALTROZ,XZ 1.2 ,2022,1086,Petrol,1,New Delhi,861699
Hyundai,i10,MAGNA 1.1 IRDE2 ,2014,41439,Petrol,2,New Delhi,349399
Renault,Kiger,RXT 1.0 AMT ,2021,5972,Petrol,1,New Delhi,830299
Hyundai,i10,ERA 1.1 IRDE ,2009,21723,Petrol,1,New Delhi,210249
Maruti,800,VXI ,2014,28210,Petrol,1,New Delhi,270299
Maruti,Alto,LXI ,2010,48001,Petrol,2,New Delhi,170299
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,19575,Petrol,1,New Delhi,501099
MG,PLUS,SHARP DCT,2020,3483,Petrol,1,New Delhi,1890299
Hyundai,i10,ERA 1.1 IRDE ,2009,44327,Petrol,1,New Delhi,199699
Honda,Brio,1.2 E MT I VTEC ,2015,92929,Petrol,2,New Delhi,275399
Jeep,Compass,1.4 SPORT PETROL ,2019,42490,Petrol,2,New Delhi,1376149
Maruti,Wagon R 1.0,LXI ,2015,35326,Petrol,1,New Delhi,311699
KIA,SELTOS,HTK 1.5 PETROL ,2020,32873,Petrol,1,New Delhi,1189899
Hyundai,i10,MAGNA 1.2 VTVT ,2020,6470,Petrol,1,New Delhi,608399
Honda,City,VX CVT PETROL ,2015,52359,Petrol,2,New Delhi,720099
MG,PLUS,SHARP HYBRID PETROL ,2020,12185,Petrol,2,New Delhi,1848299
Maruti,Wagon R 1.0,LXI CNG ,2014,64132,CNG,1,New Delhi,325799
Datsun,Go,T (O) ,2021,13021,Petrol,1,New Delhi,463499
Nissan,Micra,XE DIESEL ,2014,63753,Diesel,1,New Delhi,275299
Jeep,Compass,1.4 LONGITUDE (O) AT ,2019,23327,Petrol,1,New Delhi,2012799
Jeep,Compass,2.0 LIMITED ,2019,46860,Diesel,1,New Delhi,1941699
Renault,Kwid,1.0 RXT Opt ,2020,6452,Petrol,2,New Delhi,406399
Toyota,CRUISER,HIGH AT,2021,6724,Petrol,1,New Delhi,1183499
Hyundai,i10,SPORTZ 1.2 AT ,2009,38983,Petrol,1,New Delhi,202099
Hyundai,i10,MAGNA 1.2 KAPPA VTVT ,2019,19804,Petrol,1,New Delhi,509199
